Alpha,AUC,MRR,NDCG@5,NDCG@10,Recall@5,Recall@10
0.0,0.6759999999999999,0.2,0.1312050775123417,0.1312050775123417,0.2,0.2
0.0,0.5052264808362369,0.2,0.1312050775123417,0.1857937604629972,0.1428571428571428,0.2857142857142857
0.0,0.9444444444444444,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.450268817204301,0.0555555555555555,0.0,0.0,0.0,0.0
0.0,0.2857142857142857,0.3333333333333333,0.2346393630113782,0.5183322919267586,0.3333333333333333,1.0
0.0,0.5308641975308642,0.1428571428571428,0.0,0.1564262420075854,0.0,0.3333333333333333
0.0,0.9655172413793104,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.8909090909090909,0.25,0.2640681225725909,0.2640681225725909,0.5,0.5
0.0,0.3596491228070175,0.0238095238095238,0.0,0.0,0.0,0.0
0.0,0.894736842105263,0.3333333333333333,0.3065735963827292,0.5,0.5,1.0
0.0,0.3333333333333333,0.0526315789473684,0.0,0.0,0.0,0.0
0.0,0.7121212121212122,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5
0.0,0.5679012345679012,0.25,0.2021073465005475,0.2021073465005475,0.3333333333333333,0.3333333333333333
0.0,0.0,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.6233766233766234,0.0625,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.6666666666666666,1.0,0.7039180890341347,0.8451850618939637,0.6666666666666666,1.0
0.0,0.4285714285714286,0.125,0.0,0.3154648767857287,0.0,1.0
0.0,0.3,0.0333333333333333,0.0,0.0,0.0,0.0
0.0,0.8317972350230414,1.0,0.4703652827859579,0.4606700933772881,0.2857142857142857,0.4285714285714285
0.0,0.3404255319148936,0.0434782608695652,0.0,0.0,0.0,0.0
0.0,0.6772727272727271,0.25,0.2640681225725909,0.2640681225725909,0.5,0.5
0.0,0.3659420289855072,0.0384615384615384,0.0,0.0,0.0,0.0
0.0,0.5833333333333333,0.3333333333333333,0.3065735963827292,0.4911492931622974,0.5,1.0
